species,census,n,m,S_t,N_t,E_t,dn,dm,dS,dN,dE
Mniotilta varia,1990,0.0,4.161828396907142,26.0,134.0,756.9612945550687,0.0,0.0,-1.0,-13.0,-94.83080373801465
Mniotilta varia,1991,0.0,4.161828396907142,25.0,121.0,662.130490817054,0.0,0.0,0.0,9.0,98.21206532250051
Mniotilta varia,1992,0.0,4.161828396907142,25.0,130.0,760.3425561395545,0.0,0.0,-4.0,-35.0,-245.2662580152604
Mniotilta varia,1993,0.0,4.161828396907142,21.0,95.0,515.0762981242941,0.0,0.0,0.0,-10.0,-16.42080807526878
Mniotilta varia,1994,0.0,4.161828396907142,21.0,85.0,498.65549004902533,0.0,0.0,-2.0,-11.0,54.74896776042334
Mniotilta varia,1995,0.0,4.161828396907142,19.0,74.0,553.4044578094487,0.0,0.0,2.0,19.0,48.729717722541864
Mniotilta varia,1996,0.0,4.161828396907142,21.0,93.0,602.1341755319905,0.0,0.0,-2.0,-6.0,-81.22435643851725
Mniotilta varia,1997,0.0,4.161828396907142,19.0,87.0,520.9098190934733,0.0,0.0,-1.0,-14.0,-129.70067374599694
Mniotilta varia,1998,0.0,4.161828396907142,18.0,73.0,391.20914534747635,0.0,0.0,-2.0,12.0,85.06387382409855
Mniotilta varia,1999,0.0,4.161828396907142,16.0,85.0,476.2730191715749,0.0,0.0,2.0,5.0,3.440010963380473
Mniotilta varia,2000,0.0,4.161828396907142,18.0,90.0,479.7130301349554,0.0,0.0,3.0,3.0,44.599534938248894
Mniotilta varia,2001,0.0,4.161828396907142,21.0,93.0,524.3125650732043,0.0,0.0,-1.0,-21.0,-137.68102418134663
Mniotilta varia,2002,0.0,4.161828396907142,20.0,72.0,386.63154089185764,0.0,0.0,-1.0,18.0,156.1055548649574
Mniotilta varia,2003,0.0,4.161828396907142,19.0,90.0,542.737095756815,0.0,0.0,3.0,-12.0,-43.556870489634775
Mniotilta varia,2004,0.0,4.161828396907142,22.0,78.0,499.1802252671803,0.0,0.0,-3.0,18.0,114.20527531547168
Mniotilta varia,2005,0.0,4.161828396907142,19.0,96.0,613.385500582652,0.0,0.0,4.0,13.0,82.12066491397024
Mniotilta varia,2006,0.0,4.161828396907142,23.0,109.0,695.5061654966222,0.0,0.0,1.0,-8.0,-6.858380652262554
Mniotilta varia,2007,0.0,4.161828396907142,24.0,101.0,688.6477848443596,0.0,0.0,-2.0,-8.0,-91.34507924893
Mniotilta varia,2008,0.0,4.161828396907142,22.0,93.0,597.3027055954296,2.0,0.0,-3.0,14.0,57.366118190624775
Mniotilta varia,2009,2.0,4.161828396907142,19.0,107.0,654.6688237860544,-2.0,0.0,4.0,2.0,27.50681673157078
Mniotilta varia,2010,0.0,4.161828396907142,23.0,109.0,682.1756405176252,0.2,0.0,0.0,-12.0,-68.83183687628036
Mniotilta varia,2011,0.2,4.161828396907142,23.0,97.0,613.3438036413448,0.0,0.0,-2.0,9.0,65.51972751767255
Mniotilta varia,2012,0.2,4.161828396907142,21.0,106.0,678.8635311590174,-0.2,0.0,1.0,15.0,49.829950069092774
Mniotilta varia,2013,0.0,4.161828396907142,22.0,121.0,728.6934812281102,2.5,0.0,2.0,-7.0,-32.61267620037563
Mniotilta varia,2014,2.5,4.161828396907142,24.0,114.0,696.0808050277345,-2.5,0.0,0.0,1.0,130.57125964865213
Piranga olivacea,1986,2.0,8.13437349546238,20.0,92.0,541.1675599992918,-0.5,0.0,-2.0,-6.0,-52.000148766845086
Piranga olivacea,1987,1.5,8.13437349546238,18.0,86.0,489.16741123244674,0.5,0.0,6.0,28.0,149.5887045652214
Piranga olivacea,1988,2.0,8.13437349546238,24.0,114.0,638.7561157976681,0.5,0.0,-3.0,-12.0,-51.561296284493665
Piranga olivacea,1989,2.5,8.13437349546238,21.0,102.0,587.1948195131745,-1.0,0.0,5.0,32.0,169.76647504189418
Piranga olivacea,1990,1.5,8.13437349546238,26.0,134.0,756.9612945550687,1.0,0.0,-1.0,-13.0,-94.83080373801465
Piranga olivacea,1991,2.5,8.13437349546238,25.0,121.0,662.130490817054,2.0,0.0,0.0,9.0,98.21206532250051
Piranga olivacea,1992,4.5,8.13437349546238,25.0,130.0,760.3425561395545,-1.0,0.0,-4.0,-35.0,-245.2662580152604
